qc_id,name,descriptio,timestamp,begin,end,altitudemo,tessellate,extrude,visibility,draworder,icon,layer,path,situação,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30,field31,field32,field33,field34,field35,field36,field37,field38,field39,field40,field41,field42,icon_url
"10",Aeroporto de Porangatu,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SWPZ,B,Operacional,Diurno/Noturno,Estadual,1.500 x 30,90 x 15,100 x 50,100 x 50,,MICRO/LAMA,"3",Em Execução,Lote 2,Em Licitação,,,,,Sim,"44294",Não defin.,Ok,,,,,,,,,,,,,,,,,,,./0.png
"12",Aeroporto de São Miguel do Araguaia,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SWUA,B,Operacional,Diurno/Noturno,Municipal,1.500 x 30,170 x 15,70 x 60,70 x 60,,MICRO/LAMA,"1",Em Execução,Lote 1,Em Licitação,,,,,Não,,Semad,Incluir VFR Noturno,,,,,Sim,Sim,,Sim,Não,Normal,,,,,,,,,./0.png
"13",Aeroporto de Uruaçu,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SWWU,B,Operacional,Diurno/Noturno,Municipal,1.440 x 30,85 x 15,120 x 60,120 x 60,,MICRO/LAMA,"2",Em Execução,Lote 2,Em Licitação,,,,,Sim,"45387",Semma,Ok,,,,Sim,Sim,Sim,,Sim,Sim,Normal,,,,,,,,,./0.png
"14",Aeroporto de Anápolis,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SWNS,,Operacional,Diurno/Noturno,União,1210 x 60,1218 x 60,140 x 70,140 x 70,,CBUQ,"9",Em Execução,,,Infraero,,,,Não,,Semad,Alterando DECEA,,,,,,,,,,Parcialmente Instalado,,,,,,,,,./0.png
"15",Aeroporto de Araguarças,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SJVO,C,Operacional,Diurno,Municipal,1.210 x 30,1.210 x 30,120 x 70,120 x 70,,MICRO + CBUQ,"10",Em Execução,Lote 3,Em Licitação,,,,,Sim,"44482",Semad,Ok,,,,Sim,Sim,Sim,,Não,Não,Parcialmente Instalado,,,,,,,,,./0.png
"16",Aeroporto de Caiapônia,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SWCB,C,Interditado,Diurno,Estadual,1.080 x 23,115 x 15,60 x 40,60 x 40,,MICRO/LAMA,"3",Em Execução,Lote 2,Em Licitação,,,,,Não,,Não defin.,Ok,,,,,,,,,,Parcialmente Instalado,,,,,,,,,./2.png
"17",Aeroporto de Catalão,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SWCZ,C,Restrição,Diurno,Estadual,1.080 x 23,85 x 15,60 x 40,60 x 40,,MICRO/LAMA,"5",Em Execução,Lote 1,Em Licitação,,,,,Não,,Não defin.,Não Possui (grave),,,,Sim,Sim,Sim,,,,,,,,,,,,,./1.png
"21",Aeroporto de Mineiros,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SJ4Y,C,Operacional,Diurno,Municipal,1.030 x 18,1.030 x 18,80 x 40,80 x 40,,MICRO/LAMA,"15",Em Execução,Lote 4,Em Licitação,,,,,Não,,Semad,Ok,,,,,,,,Sim,Sim,Normal,,,,,,,,,./0.png
"22",Aeroporto de Morrinhos,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SDOV,C,Restrição,Diurno,Estadual,1.500 x 30,135 x 15,120 x 60,120 x 60,,MICRO/LAMA,"4",Em Execução,Lote 1,Em Licitação,,,,,Não,,Não defin.,Ok,,,,Sim,Sim,Sim,,,,,,,,,,,,,./1.png
"23",Aeroporto de Palmeiras de Goiás,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SNMH,B,Operacional,Diurno/Noturno,Misto Mun. Estadual,1.300 x 30,100 x 15,120 x 60,120 x 60,,MICRO/LAMA,"5",Em Execução,,,Infraero,,,,Não,,Não defin.,Ok,,,,Sim,Sim,Sim,,,,,,,,,,,,,./0.png
"24",Aeroporto de Pirenópolis,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SWWA,B,Operacional,Diurno/Noturno,Municipal,1.500 x 23,165 x 15,60 x 60,60 x 60,,MICRO/LAMA,"1",Em Execução,,,Infraero,,,,Sim,"44901",Semad,Ok,,,,,,,,,,,,,,,,,,,./0.png
